MF: LUAD,METH: LUAD,GE: LUAD
0.020523218,0.17243344,0.060967956
0,0.002252513,0.09830898
0,0.003459412,0.011567233
0,0.023815231,0.018255312
0.020556122,0.29050273,0.12481666
0,0.04655121,0.02836595
0,0.003423164,0.11176967
0.020394962,0.003363174,0.045814108
0.020428991,0.003547172,0.09838179
0,0.02287857,0.020306861
0,0.27285856,0.062661365
0,0.17666581,0.06939345
0,0.105851494,0.12732905
0.041000713,0.023209684,0.06503701
0,0.003943085,0.03214463
0.020518705,0.003978014,0.009208759
0.020563612,0.001765561,0.031916227
0.04084175,0.001462327,0.037186846
0,0.0410431,0.042551346
0.040912736,0.001997273,0.005276239
0.058152493,0.015349682,0.107928164
0,0.16449183,0.08514954
0.019484123,0.003431198,0.04246134
0,0.012056514,0.010283086
0,0.002926697,0.075478315
0.020531408,0.002613101,0.039886195
0,0.17506646,0.051359583
0,0.007076999,0.09776201
0.02051455,0.082481906,0.006887741
0,0,0
0.18000636,0.014183338,0.041643195
0,0,0
0,0.006215925,0
0.040858,0.004590596,0.18250093
0.020110443,0.002953322,0.1629717
0.020045685,0.00579173,0.028916882
0.019873787,0.012471436,0.046397775
0.02049171,0.008215697,0.054372545
0,0.106942005,0.03671634
0,0.072319455,0.10517012
0,0.104167216,0.12824091
0,0.040316775,0.028405048
0,0.046175968,0.036364064
0,0.006128884,0.06483112
0.01926989,0.037106443,0.02499793
0,0.012549392,0.006849241
0,0.09832124,0.07880588
0,0.01040615,0.26045424
0.040176284,0.007153219,0.046105392
0.03868449,0.30446732,0.33834824
0.020463904,0.014430966,0.08753657
0,0.2629143,0.004079239
0,0.34959516,0.009309768
0,0.015433725,0.09508267
0,0.009294372,0.05386859
0,0.006559762,0.021706663
0,0.000984778,0.07595457
0,0.008449774,0.056806896
0.040482957,0.032621972,0.009899294
0,0.000667313,0.06564927
0.03894202,0.020220503,0.042378116
0.019411605,0.001367913,0.017684007
0,0.018114008,0.051080752
0.020223908,0.01759055,0.049488764
0,0.029183391,0.02466687
0,0.051535442,0.024737183
0.020275071,0.003644342,0.07161334
0,0.088608146,0.01620542
0.020516668,0.020667238,0.049717665
0.040515285,0.02439124,0.028869541
0.04092242,0.073696785,0.02446034
0.020233292,0.005664014,0.020043654
0,0.000116034,0.10709366
0,0.040978223,0.006753998
0.020445382,0.009256188,0.07319135
0.04072213,0.019907814,0.06133997
0,0.05912809,0.3112405
0.020372143,0.005109453,0.052399207
0,0.00937436,0.014821965
0.020549983,0.08850068,0
0,0.015218988,0.01925431
0,0,0.05709244
0.08084879,0.06547207,0.028300744
0,0.04294714,0.034677505
0,0.053385545,0.047809374
0.05964876,0.35035393,0.015788043
0.061440744,0.120932326,0.45625052
0.13558027,0.46686152,0.17126048
0,0.08847157,0.5683903
0,0.002388015,0.037463672
0.020499667,0.017736906,0.002496806
0.040979918,0.115121014,0.123632394
0,0.014978793,0.022555318
0,0.008094397,0.023397157
0.06082777,0.003868024,0.09084733
0,0.019369848,0.01682363
0.019773867,0.002439515,0.03507563
0.0405262,0.001132946,0.003214176
0.07642082,0.026087232,0.11220951
0,0.30279744,0
0.04057946,0.011794834,0.13190122
0.04040808,0.4289176,0.011606952
0.020208774,0.005066425,0.04079218
0.020433731,0.008451699,0.1469281
0,0.031366244,0.003714387
0.07931877,0.30315942,0.05937894
0,0.05117676,0.048145175
0,0.042784836,0.010556026
0,0.012127168,0.35899827
0.060778476,0.004052997,0.061220042
0,0.002765343,0.01414623
0.061559312,0.44623753,0.05931326
0.02039715,0.002013782,0.06971168
0.02048657,0.026680958,0.002681046
0.020432916,0.009713274,0.048514206
0.018470915,0.08295295,0.022158777
0,0.002585204,0.10545796
0.05926749,0.38869688,0.15595411
0.1407818,0.22875899,0.11935883
0,0.032662023,0.09503659
0.07260757,0.013887315,0.19559029
0,0.038466826,0.102731064
0.040861078,0.02785834,0.085022725
0,0.046360943,0.032539323
0.020498242,0.014427803,0.10237766
0.03935145,0.017455684,0.058547243
0.020174785,0.000648521,0.16004273
0.07541659,0.009745782,0.11674483
0,0.018392978,0.07319135
0,0.42219633,0.07177723
0,0,0
0.06103009,0.010599079,0.042359304
0,0.09448568,0.12459789
0,0.3255386,0.30838537
0.018577125,0.002768017,0.056808434
0.040153507,0.000562,0.03760603
0.1811969,0,0.16192818
0.04100914,0.03927499,0.09225099
0.10228744,0.343288,0.39325902
0,0.001114024,0.06257185
0,0.07957417,0.038682874
0,0.03616729,0.053189375
0,0.06423106,0.1932727
0.020400904,0.16070168,0.004502286
0.07925255,0.087330654,0.019844247
0,0.025085682,0.09315481
0,0.008408779,0.03853867
0,0.000584294,0.10858237
0,0.009797595,0.061404403
0,0.007882635,0.1194624
0.23249052,0.30843714,0.099834986
0.020417778,0.24634221,0.22574368
0,0.07498715,0.000362903
0,0.18228276,0.061602287
0,0.049343422,0.1129318
0,0.077613376,0.112304226
0,0,0.3315196
0,0.044051398,0
0.02048239,0.10067216,0
0,0,0.067632526
0.040906247,0.22983961,0.3827455
0.10144764,0.15661696,0.060209613
0,0.13764635,0.18073136
0.02053973,0.18901962,0
0.020449039,0.21634372,0
0,0.006451867,0.10648418
0.060438108,0,0.34319744
0,0.3839155,0.35522225
0.020380447,0.15042308,0.29644677
0.019944817,0.49403805,0
0.019810794,0.01033521,0.07033696
0,0.039333537,0.019251106
0,0.003767578,0.014676287
0,0.008201804,0
0.080122374,0.052836888,0.1231359
0.019853048,0.14003289,0.09755868
0.059794802,0.051026084,0.046036366
0.100062825,0.76843685,0.019925833
0,0.008535457,0.028330632
0,0.014169379,0.07979094
0.040325742,0.019951722,0.017793419
0,0,0.11309453
0,0.039935812,0.050499417
0,0.026700914,0.004794977
0,0.073082864,0.71180177
0.019957654,0.2958977,0.30953076
0,0.058857054,0.2635115
0.019414721,0.18347302,0.09835317
0,0.004706402,0.1365874
0,0,0.051978838
0.020472651,0.018099109,0.2543084
0.02041361,0,0.13830958
0.059835605,0.056243025,0.16178206
0,0.07280309,0.23232315
0.020399971,0.22732659,0
0,0.3317128,0.14104463
0,0.028854031,0.119714156
0.08182874,0.29781815,0.003369994
0,0.046570003,0.013127022
0.020560488,0.008818566,0.021794222
0,0.00202709,0.026794333
0,0.006378564,0.05877287
0.04041171,0.012847021,0.04407741
0.020347426,0.08406788,0.2862157
0,0.04648518,0.13190328
0.020503122,0,0.186013
0.10167116,0.13584699,0.13622715
0,0.007180419,0.05530891
0,0.37487224,0
0,0.051218614,0.007300223
0.040180027,0.005197901,0.09757604
0,0.1045324,0.017458778
0,0.002239072,0.035552215
0.060834747,0.041168164,0.2440803
0.08143099,0,0
0,0.03536522,0.082918815
0.040868226,0.42402187,0
0.020332295,0.29924843,0.09520768
0.040856626,0.1015306,0.25937235
0.02032138,0.008423416,0.347655
0.06163272,0.04745614,0.35449082
0.16122697,0.010537292,0.36234498
0,0.090133056,0.20347606
0,0.63200355,0
0,0.053500626,0.089302406
0,0.004791706,0.008661876
0,0.22640358,0.045501046
0,0.14893296,0
0.04102866,0.045974683,0.15515284
0.020353502,0.009941602,0
0,0.030407868,0.11378883
0,0.009303596,0.005873799
0.09471338,0,0.007925896
0,0.008184914,0.033170592
0.07680013,0,0.005502429
0,0.041304436,0.021766312
0,0.008331551,0.041942563
0.020521225,0.007371541,0.06481109
0,0.006822589,0.07163069
0,0.08242378,0.12757078
0.020462718,0.012421828,0.006077687
