MF: BRCA,METH: BRCA,GE: BRCA
0,0.001176231,0.056121334
0,0.029064443,0.002002736
0.01537399,0.001871863,0.018562088
0.005309057,0.06119937,0.025242234
0.005302641,0.01124838,0.014204183
0.010396944,0.001702419,0.025429077
0.005243568,0.053075682,0.028610792
0.0263378,3.81E-05,0.012623858
0.021090243,0.07102752,0.0248541
0.010520065,0.15955849,0.17395927
0.005261185,0.000397866,0.025143187
0.0106235,0.08729082,0.018881757
0.010607859,0.006703938,0.06747907
0,0.008698539,0.000806431
0,0.010243081,0.009148755
0.015901813,0.058421217,0.07899906
0.01051691,0.19167708,0.11002165
0.005308373,0.12589823,0.15353441
0.005306089,0.004583383,0.043262105
0,0.005303579,0.021854894
0,0.22591431,0
0,0.009324511,0.05059802
0.005293587,0,0.04167342
0.010598128,0.038778644,0.003328352
0.030989813,0.15158725,0.03615259
0.005277241,0.11861863,0.006371182
0.031713143,0.56781703,0.14757428
0.015885638,0.14053883,0.008269514
0.005225993,0.13049647,0.2692635
0.026192542,0.014478077,0.45266962
0.010606487,0.023220683,0.007370227
0.005305885,0.002779418,0.04342696
0.010620225,0.09061515,0.07396167
0.005285961,0.007997033,0.02284962
0.02647464,0.000496519,0.0189989
0.005180789,0.006362847,0.02459711
0,0.003043569,0.028053546
0.005278663,0.001148486,0.000715824
0.01579707,0.003220605,0.026133358
0.026265237,0.000401084,0.07323755
0,0.22978374,0
0,0.005212161,0.09052202
0.005303453,0.34976384,0.016333083
0.010586481,0.006516896,0.021778181
0.01050486,0.022785336,0.07353908
0.005285864,0.15876095,0.07393986
0.009840359,0.4595537,0.55121887
0,0.01065301,0.019377975
0,0.051348053,0.017791206
0.005160424,0.011100093,0.34392783
0.010584792,0.013611295,0.021697821
0.005259293,0.015499586,0.05525856
0.005302331,0.09480187,0.060088273
0.015647862,0.052561272,0.06942371
0.010533163,0.07402508,0.009538939
0.005295433,0.002439281,0.13964778
0.02041423,0.15988412,0.0761004
0.010572196,0.003076347,0.051051497
0,0.26724577,0.024236973
