A,B,C
0,0,0.018132037
0.029970298,0.009474674,0.11599109
0.030579463,0.012163429,0.08488182
0,0.13942505,0.13712841
0.06139842,0.006028991,0.01723966
0.030642634,0.01651467,0.038557686
0.030727236,0.02805899,0.0384197
0,0.006824462,0.050336882
0,0,0
0,0.08854664,0.007194009
0,0.3854777,0.10428634
0,0.014020902,0
0.06133581,0.04328358,0.027064005
0.03054851,0.005657786,0.017758662
0.060890134,0.11820156,0.02994312
0.030421603,0.005734407,0.000795985
0.18207915,0.7698901,0.029867517
0.03060605,0.050056707,0.20360218
0,0.11473572,0.12232829
0.091912806,0.004226198,0.29732725
0,0.027974887,0.3759377
0,0.013811284,0.25727263
0,0.0106836,0.14302969
0,0.016903896,0.08569554
0,0.031142281,0.2137646
0,0.028600901,0.11301281
0,0.051381856,0.33415616
0,0.051365353,0.13403621
0,0.008886322,0.16138013
0.030411355,0.33208534,0.2235596
0,0.010149159,0.28254262
0.06067337,0.08523658,0.09343257
0,0.01110538,0.010674906
0,0,0.007113605
0.12033478,0.06133995,0.26097667
0,0.07470955,0.2549942
0,0.02328122,0.008998117
0,0.004839467,0.004086616
0,0.000178651,0.10102486
0,0.007204438,0.23574984
0,0.3443719,0.043041438
0,0.005347964,0.0497749
0,0.005830485,0.11273941
0,0.036906775,0.1343433
0.06074475,0.14440663,0.14589362
0,0.035033785,0.118456215
0,0.03039602,0.064492926
0.030474715,0.000861482,0.050456032
0.030081155,0.011759859,0.10541178
0,0.009823785,0.059178833
0,0.07151854,0.097523004
0.030587852,0.018426666,0.044317484
0.060857695,0.20454322,0.083029315
0,0.3543895,0.018386824
0.09174974,0.19254941,0
0,0,0
0.060912747,0.010986604,0.006044173
0.030421201,0.36495805,0.13402665
0,0,0.01636586
0.030737994,0.19212241,0.002786663
0.030625863,0.2683806,0.04167543
0.061339345,0.25147873,0
0,0.13355471,0.012500494
0,0.03518023,0.10365078
0,0.38694668,0.07479449
0,0,0
0,0.118782446,0.3246018
0,0.016590156,0
0.029086815,0.023526847,0.06318351
0,0.023606976,0.12515855
0,0.05540448,0.10108578
0,0,0
0,0.014440306,0.018443033
0,0.005300665,0.002011001
0.030087212,0.09168183,0.011831394
0.030568508,0.006322136,0.02126455
0,0.006103444,0.10043865
0.030538457,0.14560834,0.27192122
0,0.023786359,0.018285971
0.030483667,0.008754376,0.18769583
0.030415135,0,0.013599174
0,0,0.07576476
0,0.005106761,0.006363816
0.1199107,0.012946998,0
0.090927504,0.16894387,0.29755506
0.092196435,0.12822397,0.042686455
0.03026947,0.06704676,0.10704264
0,0.09706112,0.018592758
0,0.056006767,0.09339235
0,0.006828087,0.002008098
0.030778475,0.012250586,0.044070452
0,0.1866474,0.004401192
0,0.27740753,0.15477024
0,0.21715035,0.17468758
0,0,0.19285229
0,0.13543428,0.10073933
0,0.17346191,0.16739506
0,0.26225635,0.07185129
0.030691097,0.24412207,0.03608435
0,0.37711602,0.10642591
0.030566918,0.12842917,0.033089638
0,0.13955459,0.13574867
0.05999978,0.20514104,0.022989552
0,0.06470795,0.08880306
0.030579368,0,0.07082826
0,0.38528073,0.09735698
0.03058508,0.00682371,0.002864687
0,0.033,0.009385186
0.060881115,0.01304979,0.004451478
0.030720979,0.085751176,0.004266322
0.030744711,0.010397884,0.008522327
0.030687612,0.32750815,0.08038722
0,0.045258272,0.23860961
0.030214809,0.15353516,0.13920301
0.030621672,0.32415262,0.007631369
0.030461224,0.011783915,0.004014309
0,0.025376879,0.0346169
0.03018914,0.09500084,0.06916289
0.030651545,0,0.08341981
0,0.01261437,0.01171122
0.030765539,0.01747818,0.03778215
0,0.0781859,0.0623818
0,0.38329726,0.000292479
0,0.14641094,0.3141804
0,0.27528557,0.3141378
0.030684106,0.4225414,0.09510377
0.0610011,0.25356162,0.1221436
0,0.1277191,0.020105109
0,0.17350897,0.14745554
0,0.32518965,0.101763256
0,0.064979315,0.009433295
0,0.07147284,0.08427385
0.03070691,0.00244858,0.21866257
0,0,0
0,0.10953392,0.06512154
0,0.057005048,0.13362245
0,0.021102307,0.004385033
0.05917529,0.08343084,0.17095348
0,0,0.17032763
0.059753165,0.31485158,0.019262282
0.030718535,0.056684088,0.25551915
0.030251572,0.17667352,0.06440514
0,0.006350499,0.011511362
0,0.058797155,0.005373546
0,0.06822769,0.03150716
0,0.010139152,0.22496432
0,0.008047703,0.07217803
0.030586788,0.16798794,0.000132903
0.06144041,0.007876639,0.05165193
0.03065692,0.01674726,0.073944926
0,0.36359045,0.001366242
0,0.15843524,0.002983044
0,0.089342095,0.034011185
0,0.055444755,0.09823248
0,0.003675515,0.018630095
0.030518988,0.45057964,0
0.030298008,0.006533914,0.13103503
0.030477932,0.4909694,0
0,0.3348373,0.2568309
0,0,0.15601307
0,0.25245535,0
0.030557336,0.40151358,0
0.054996278,0.17514886,0.045503184
0.05999712,0.013988451,0.070134625
0,0.008190051,0.020005587
0,0.17734611,0.07771807
0.030590367,0.08093316,0.051923282
0,0.19987915,0.19983259
